entity,year,coal_consumption
Africa,1965,323.4961243
Africa,1966,323.1221924
Africa,1967,330.2915649
Africa,1968,343.5129089
Africa,1969,346.6429443
Africa,1970,360.756897
Africa,1971,383.0123291
Africa,1972,384.2108154
Africa,1973,408.9103394
Africa,1974,425.6462097
Africa,1975,451.0805054
Africa,1976,481.0741577
Africa,1977,491.6984558
Africa,1978,477.8155823
Africa,1979,507.2469788
Africa,1980,543.5570679
Africa,1981,635.7987671
Africa,1982,701.1759033
Africa,1983,713.2460327
Africa,1984,762.8978271
Africa,1985,787.1658936
Africa,1986,805.3560791
Africa,1987,828.3197021
Africa,1988,890.1607666
Africa,1989,835.6208496
Africa,1990,877.6782837
Africa,1991,853.762146
Africa,1992,858.8311768
Africa,1993,871.7139282
Africa,1994,894.4478149
Africa,1995,922.4712524
Africa,1996,935.2282104
Africa,1997,959.019104
Africa,1998,937.0389404
Africa,1999,966.0106812
Africa,2000,963.7305908
Africa,2001,975.9262695
Africa,2002,934.4215698
Africa,2003,1017.048401
Africa,2004,1119.161865
Africa,2005,1039.072632
Africa,2006,1054.097046
Africa,2007,1071.633301
Africa,2008,1180.725098
Africa,2009,1176.002075
Africa,2010,1164.840088
Africa,2011,1147.299316
Africa,2012,1118.487061
Africa,2013,1130.160645
Africa,2014,1183.80603
Africa,2015,1119.038574
Africa,2016,1186.287964
Africa,2017,1185.067139
Africa,2018,1163.599854
Africa,2019,1231.316772
Africa,2020,1157.901123
Africa,2021,1168.740601
Africa (BP),1965,323.4961243
Africa (BP),1966,323.1221924
Africa (BP),1967,330.2915955
Africa (BP),1968,343.5129089
Africa (BP),1969,346.6429138
Africa (BP),1970,360.756897
Africa (BP),1971,383.0123291
Africa (BP),1972,384.2108154
Africa (BP),1973,408.9103394
Africa (BP),1974,425.6462402
Africa (BP),1975,451.0805054
Africa (BP),1976,481.0741577
Africa (BP),1977,491.6984558
Africa (BP),1978,477.8155823
Africa (BP),1979,507.2470093
Africa (BP),1980,543.5570679
Africa (BP),1981,635.7987671
Africa (BP),1982,701.1759033
Africa (BP),1983,713.2460327
Africa (BP),1984,762.8978882
Africa (BP),1985,787.1658936
Africa (BP),1986,805.3560791
Africa (BP),1987,828.3197021
Africa (BP),1988,890.1608276
Africa (BP),1989,835.6208496
Africa (BP),1990,877.6782227
Africa (BP),1991,853.762146
Africa (BP),1992,858.8311768
Africa (BP),1993,871.7139282
Africa (BP),1994,894.4478149
Africa (BP),1995,922.4712524
Africa (BP),1996,935.2282104
Africa (BP),1997,959.019104
Africa (BP),1998,937.0389404
Africa (BP),1999,966.0107422
Africa (BP),2000,963.7305298
Africa (BP),2001,975.9262695
Africa (BP),2002,934.4215698
Africa (BP),2003,1017.048462
Africa (BP),2004,1119.161743
Africa (BP),2005,1039.072632
Africa (BP),2006,1054.097046
Africa (BP),2007,1071.633301
Africa (BP),2008,1180.724976
Africa (BP),2009,1176.002075
Africa (BP),2010,1164.840088
Africa (BP),2011,1147.299316
Africa (BP),2012,1118.486938
Africa (BP),2013,1130.160645
Africa (BP),2014,1183.806152
Africa (BP),2015,1119.038574
Africa (BP),2016,1186.287964
Africa (BP),2017,1185.067139
Africa (BP),2018,1163.599854
Africa (BP),2019,1231.316895
Africa (BP),2020,1157.901123
Africa (BP),2021,1168.740601
Algeria,1965,0.814100027
Algeria,1966,0.79084003
Algeria,1967,0.604759991
Algeria,1968,0.639649987
Algeria,1969,0.814100027
Algeria,1970,0.96529001
Algeria,1971,0.26749
Algeria,1972,0.232600003
Algeria,1973,0.26749
Algeria,1974,0.220970005
Algeria,1975,0.279119998
Algeria,1976,0.546609998
Algeria,1977,0.709429979
Algeria,1978,0.360529989
Algeria,1979,0.837360024
Algeria,1980,0.744319975
Algeria,1981,0.52335
Algeria,1982,9.711050034
Algeria,1983,8.664349556
Algeria,1984,9.606380463
Algeria,1985,10.0250597
Algeria,1986,10.29255009
Algeria,1987,12.30453968
Algeria,1988,11.57184982
Algeria,1989,9.780830383
Algeria,1990,7.664169788
Algeria,1991,7.908400059
Algeria,1992,9.397040367
Algeria,1993,7.652540207
Algeria,1994,7.210599899
Algeria,1995,7.210599899
Algeria,1996,3.395960093
Algeria,1997,5.954559803
Algeria,1998,6.373239994
Algeria,1999,6.826809883
Algeria,2000,5.640550137
Algeria,2001,6.512800217
Algeria,2002,8.548049927
Algeria,2003,7.047780037
Algeria,2004,8.408490181
Algeria,2005,6.908219814
Algeria,2006,10.25765991
Algeria,2007,8.803910255
Algeria,2008,8.803910255
Algeria,2009,5.652180195
Algeria,2010,3.60529995
Algeria,2011,3.198250055
Algeria,2012,3.395960093
Algeria,2013,1.83754003
Algeria,2014,2.081769943
Algeria,2015,1.546790004
Algeria,2016,0.569869995
Algeria,2017,2.116660118
Algeria,2018,5.815000057
Algeria,2019,4.803190231
Algeria,2020,4.816349506
Algeria,2021,4.803190231
Argentina,1965,8.455049515
Argentina,1966,6.971818447
Argentina,1967,7.840396881
Argentina,1968,7.619035244
Argentina,1969,9.122170448
Argentina,1970,11.72259808
Argentina,1971,10.27754211
Argentina,1972,8.651294708
Argentina,1973,9.49652195
Argentina,1974,11.82592201
Argentina,1975,11.51094055
Argentina,1976,11.64258575
Argentina,1977,11.00850296
Argentina,1978,13.41919518
Argentina,1979,12.5016737
Argentina,1980,11.14458942
Argentina,1981,10.56046677
Argentina,1982,10.66607571
Argentina,1983,9.679963112
Argentina,1984,7.185223579
Argentina,1985,10.59960556
Argentina,1986,12.10934925
Argentina,1987,13.43967247
Argentina,1988,13.77234936
Argentina,1989,14.90276814
Argentina,1990,12.26613235
Argentina,1991,10.79401207
Argentina,1992,12.1681633
Argentina,1993,8.069987297
Argentina,1994,7.065106869
Argentina,1995,7.414152622
Argentina,1996,7.766816139
Argentina,1997,6.12771368
Argentina,1998,8.237409592
Argentina,1999,9.885469437
